word,colour,stim_condition,correct_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,text.stopped,thanks.started,text_3.started,text_3.stopped,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,0.0116562,0.0160624,1.005504,,,,,,,,,,,,,,,,participant 3,1,2024-12-05_18h19.39.070,solo_experiment,2024.1.5,None,2024-12-05 18h19.52.860719 +0530
Love,grey,I,g,0,0,0,8,1.0221275,,,,,1.0103879,1.0221275,1.5052945,1.5052945,1.5222507,4.8577908,g,1,3.3458376,None,,,,,,participant 3,1,2024-12-05_18h19.39.070,solo_experiment,2024.1.5,None,2024-12-05 18h19.52.860719 +0530
Joy,grey,I,g,0,1,1,5,4.8717772,,,,,4.8583301,4.8717772,5.3715418,5.3715418,5.3715418,10.1558649,g,1,4.7824931,None,9.8709933,,,,,participant 3,1,2024-12-05_18h19.39.070,solo_experiment,2024.1.5,None,2024-12-05 18h19.52.860719 +0530
Love,pink,C,p,0,2,2,1,10.1707158,,,,,10.1561752,10.1707158,10.6711507,10.6711507,10.6711507,16.3710619,p,1,5.6846367,None,15.1701214,,,,,participant 3,1,2024-12-05_18h19.39.070,solo_experiment,2024.1.5,None,2024-12-05 18h19.52.860719 +0530
Sadness,red,I,r,0,3,3,12,16.3865095,,,,,16.3714054,16.3865095,16.8865466,16.8865466,16.8865466,18.2539911,r,1,1.3549541,None,,,,,,participant 3,1,2024-12-05_18h19.39.070,solo_experiment,2024.1.5,None,2024-12-05 18h19.52.860719 +0530
Joy,yellow,C,y,0,4,4,0,18.2700559,,,,,18.2543126,18.2700559,18.7699674,18.7699674,18.7699674,20.1040347,y,1,1.3275922,None,,,,,,participant 3,1,2024-12-05_18h19.39.070,solo_experiment,2024.1.5,None,2024-12-05 18h19.52.860719 +0530
Anger,pink,I,p,0,5,5,14,20.1195166,,,,,20.1043707,20.1195166,20.6195199,20.6195199,20.6195199,22.2365279,p,1,1.6154798,None,,,,,,participant 3,1,2024-12-05_18h19.39.070,solo_experiment,2024.1.5,None,2024-12-05 18h19.52.860719 +0530
Joy ,red,I,r,0,6,6,6,22.252394,,,,,22.2368692,22.252394,22.735816,22.735816,22.7525999,24.369439,r,1,1.6205587,None,,,,,,participant 3,1,2024-12-05_18h19.39.070,solo_experiment,2024.1.5,None,2024-12-05 18h19.52.860719 +0530
Love,red,I,r,0,7,7,9,24.3856002,,,,,24.3697467,24.3856002,24.8692358,24.8692358,24.8856836,26.2027923,r,1,1.3273911,None,,,,,,participant 3,1,2024-12-05_18h19.39.070,solo_experiment,2024.1.5,None,2024-12-05 18h19.52.860719 +0530
Love,yellow,I,y,0,8,8,7,26.2187554,,,,,26.2031337,26.2187554,26.7019234,26.7019234,26.7184696,27.9693095,y,1,1.250614,None,,,,,,participant 3,1,2024-12-05_18h19.39.070,solo_experiment,2024.1.5,None,2024-12-05 18h19.52.860719 +0530
