word,colour,stim_condition,correct_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,thanks.started,text_3.started,text_3.stopped,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,0.0072521,0.0121327,1.0049732,,,,,,,,,,,,,,,participant 2,1,2024-12-05_18h07.32.770,solo_experiment,2024.1.5,None,2024-12-05 18h07.44.053036 +0530
Sadness,red,I,r,0,0,0,12,1.0215519,,,,,1.0097412,1.0215519,1.5050459,1.5050459,1.5217272,3.5919052,r,1,2.0832409,None,,,,,participant 2,1,2024-12-05_18h07.32.770,solo_experiment,2024.1.5,None,2024-12-05 18h07.44.053036 +0530
Sadness,grey,C,g,0,1,1,2,3.605284,,,,,3.5927334,3.605284,4.1046105,4.1046105,4.1046105,5.4563179,g,1,1.3498543,None,,,,,participant 2,1,2024-12-05_18h07.32.770,solo_experiment,2024.1.5,None,2024-12-05 18h07.44.053036 +0530
Anger,red,C,r,0,2,2,3,5.470904,,,,,5.4566157,5.470904,5.9712371,5.9712371,5.9712371,6.9717917,r,1,0.9990188,None,,,,,participant 2,1,2024-12-05_18h07.32.770,solo_experiment,2024.1.5,None,2024-12-05 18h07.44.053036 +0530
Love,pink,C,p,0,3,3,1,6.9874417,,,,,6.9721827,6.9874417,7.470924,7.470924,7.4876553,8.537651,p,1,1.0548164,None,,,,,participant 2,1,2024-12-05_18h07.32.770,solo_experiment,2024.1.5,None,2024-12-05 18h07.44.053036 +0530
Anger,grey,I,g,0,4,4,15,8.554083,,,,,8.5379818,8.554083,9.0370211,9.0370211,9.0537699,10.9040414,g,1,1.8638825,None,,,,,participant 2,1,2024-12-05_18h07.32.770,solo_experiment,2024.1.5,None,2024-12-05 18h07.44.053036 +0530
Sadness,pink,I,p,0,5,5,11,10.9202924,,,,,10.904343,10.9202924,11.4036065,11.4036065,11.4205614,12.1708294,p,1,0.7565246,None,,,,,participant 2,1,2024-12-05_18h07.32.770,solo_experiment,2024.1.5,None,2024-12-05 18h07.44.053036 +0530
Sadness,yellow,I,y,0,6,6,10,12.1865558,,,,,12.1711708,12.1865558,12.6701392,12.6701392,12.6865478,13.9211191,y,1,1.2416002,None,,,,,participant 2,1,2024-12-05_18h07.32.770,solo_experiment,2024.1.5,None,2024-12-05 18h07.44.053036 +0530
Anger,pink,I,p,0,7,7,14,13.9367234,,,,,13.9216772,13.9367234,14.4367539,14.4367539,14.4367539,15.2549027,p,1,0.8001419,None,,,,,participant 2,1,2024-12-05_18h07.32.770,solo_experiment,2024.1.5,None,2024-12-05 18h07.44.053036 +0530
Joy ,pink,I,p,0,8,8,4,15.2705175,,,,,15.2552162,15.2705175,15.7696214,15.7696214,15.7696214,16.7536343,p,1,0.9725752,None,,,,,participant 2,1,2024-12-05_18h07.32.770,solo_experiment,2024.1.5,None,2024-12-05 18h07.44.053036 +0530
