word,colour,stim_condition,correct_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,thanks.started,text_3.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,0.0107432,0.0223055,1.0028895,,,,,,,,,,,,,,406274,1,2024-12-05_18h13.36.181,solo_experiment,2024.1.5,None,2024-12-05 18h13.41.895833 +0530
Joy ,red,I,r,0,0,0,6,1.0191774,,,,,1.0096122,1.0191774,1.5021624,1.5021624,1.5188271,2.7723903,r,1,1.2534953,None,,,,406274,1,2024-12-05_18h13.36.181,solo_experiment,2024.1.5,None,2024-12-05 18h13.41.895833 +0530
Joy,yellow,C,y,0,1,1,0,2.7854428,,,,,2.7729225,2.7854428,3.28589,3.28589,3.28589,4.702646,y,1,1.4017462,None,,,,406274,1,2024-12-05_18h13.36.181,solo_experiment,2024.1.5,None,2024-12-05 18h13.41.895833 +0530
Sadness,pink,I,p,0,2,2,11,4.718703,,,,,4.7030587,4.718703,5.218484,5.218484,5.218484,6.5528121,p,1,1.3260303,None,,,,406274,1,2024-12-05_18h13.36.181,solo_experiment,2024.1.5,None,2024-12-05 18h13.41.895833 +0530
Love,grey,I,g,0,3,3,8,6.5679938,,,,,6.5533687,6.5679938,7.0681295,7.0681295,7.0681295,9.7355094,g,1,2.6522887,None,,,,406274,1,2024-12-05_18h13.36.181,solo_experiment,2024.1.5,None,2024-12-05 18h13.41.895833 +0530
Anger,pink,I,p,0,4,4,14,9.7512637,,,,,9.7361139,9.7512637,10.2512163,10.2512163,10.2512163,11.551927,p,1,1.2959026,None,,,,406274,1,2024-12-05_18h13.36.181,solo_experiment,2024.1.5,None,2024-12-05 18h13.41.895833 +0530
Sadness,red,I,r,0,5,5,12,11.567422,,,,,11.5526042,11.567422,12.0672627,12.0672627,12.0672627,13.0346939,r,1,0.9649285,None,,,,406274,1,2024-12-05_18h13.36.181,solo_experiment,2024.1.5,None,2024-12-05 18h13.41.895833 +0530
Sadness,grey,C,g,0,6,6,2,13.0506403,,,,,13.0350252,13.0506403,13.5341407,13.5341407,13.5506362,15.8006262,g,1,2.2541316,None,,,,406274,1,2024-12-05_18h13.36.181,solo_experiment,2024.1.5,None,2024-12-05 18h13.41.895833 +0530
Anger,grey,I,g,0,7,7,15,15.8167684,,,,,15.8009859,15.8167684,16.3003815,16.3003815,16.3167795,18.6336389,g,1,2.3177718,None,,,,406274,1,2024-12-05_18h13.36.181,solo_experiment,2024.1.5,None,2024-12-05 18h13.41.895833 +0530
Anger,yellow,I,y,0,8,8,13,18.6502441,,,,,18.6339262,18.6502441,19.1333564,19.1333564,19.1496596,20.0336482,y,1,0.890427,None,,,,406274,1,2024-12-05_18h13.36.181,solo_experiment,2024.1.5,None,2024-12-05 18h13.41.895833 +0530
Joy,grey,I,g,0,9,9,5,20.050325,,,,,20.0339837,20.050325,20.5329608,20.5329608,20.5496103,22.8162748,g,1,2.2712021,None,,,,406274,1,2024-12-05_18h13.36.181,solo_experiment,2024.1.5,None,2024-12-05 18h13.41.895833 +0530
Love,red,I,r,0,10,10,9,22.832905,,,,,22.8165963,22.832905,23.3158788,23.3158788,23.3328519,24.3829509,r,1,1.0551174,None,,,,406274,1,2024-12-05_18h13.36.181,solo_experiment,2024.1.5,None,2024-12-05 18h13.41.895833 +0530
Love,pink,C,p,0,11,11,1,24.3988216,,,,,24.3832077,24.3988216,24.8823626,24.8823626,24.8991658,26.2492611,p,1,1.3557457,None,,,,406274,1,2024-12-05_18h13.36.181,solo_experiment,2024.1.5,None,2024-12-05 18h13.41.895833 +0530
