word,colour,stim_condition,correct_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,text_2.stopped,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,thanks.started,text_3.started,text_3.stopped,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,0.0056251,0.0097746,1.0094984,0.9932354,,,,,,,,,,,,,,,participant4,1,2024-12-05_18h21.40.356,solo_experiment,2024.1.5,None,2024-12-05 18h21.55.800491 +0530
Anger,pink,I,p,0,0,0,14,1.0094984,,,,,,0.9979975,1.0094984,1.5093416,1.5093416,1.5093416,3.0788151,p,1,1.5542228,None,,,,,participant4,1,2024-12-05_18h21.40.356,solo_experiment,2024.1.5,None,2024-12-05 18h21.55.800491 +0530
Sadness,red,I,r,0,1,1,12,3.0925645,,,,,,3.0792095,3.0925645,3.5926236,3.5926236,3.5926236,4.6596135,r,1,1.064897,None,,,,,participant4,1,2024-12-05_18h21.40.356,solo_experiment,2024.1.5,None,2024-12-05 18h21.55.800491 +0530
Sadness,grey,C,g,0,2,2,2,4.6755293,,,,,,4.6600138,4.6755293,5.1759935,5.1589232,5.1589232,6.6442469,g,1,1.4749523,None,,,,,participant4,1,2024-12-05_18h21.40.356,solo_experiment,2024.1.5,None,2024-12-05 18h21.55.800491 +0530
Joy,yellow,C,y,0,3,3,0,6.6589525,,,,,,6.6445667,6.6589525,7.158483,7.158483,7.158483,8.0263294,y,1,0.866281,None,,,,,participant4,1,2024-12-05_18h21.40.356,solo_experiment,2024.1.5,None,2024-12-05 18h21.55.800491 +0530
Love,pink,C,p,0,4,4,1,8.041925,,,,,,8.0266158,8.041925,8.5419195,8.5419195,8.5419195,9.9255941,p,1,1.38177,None,,,,,participant4,1,2024-12-05_18h21.40.356,solo_experiment,2024.1.5,None,2024-12-05 18h21.55.800491 +0530
Anger,red,C,r,0,5,5,3,9.9417123,,,,,,9.9261336,9.9417123,10.4416355,10.4251372,10.4251372,11.5089279,r,1,1.0788309,None,,,,,participant4,1,2024-12-05_18h21.40.356,solo_experiment,2024.1.5,None,2024-12-05 18h21.55.800491 +0530
Anger,grey,I,g,0,6,6,15,11.5246812,,,,,,11.5093349,11.5246812,12.0246901,12.0079046,12.0079046,13.5419946,g,1,1.5231957,None,,,,,participant4,1,2024-12-05_18h21.40.356,solo_experiment,2024.1.5,None,2024-12-05 18h21.55.800491 +0530
Anger,yellow,I,y,0,7,7,13,13.5578181,,,,,,13.5423416,13.5578181,14.0579289,14.0412525,14.0412525,15.2420774,y,1,1.1898301,None,,,,,participant4,1,2024-12-05_18h21.40.356,solo_experiment,2024.1.5,None,2024-12-05 18h21.55.800491 +0530
Sadness,yellow,I,y,0,8,8,10,15.2580364,,,,,,15.2423689,15.2580364,15.7576485,15.7576485,15.7576485,16.6261422,y,1,0.8672023,None,,,,,participant4,1,2024-12-05_18h21.40.356,solo_experiment,2024.1.5,None,2024-12-05 18h21.55.800491 +0530
